x,y,luminosity_counts,hlr_pixel,q,theta,n
2177.0,62.6,73.41739,3.532,0.91,-89.0,4
3153.4,41.6,32.24351,3.377,0.74,66.7,4
1681.6,47.3,67.76938,2.612,0.97,-32.8,4
973.2,37.4,12.02963,3.598,0.58,-79.7,4
450.6,31.8,21.87653,3.576,0.79,-31.6,4
1797.1,28.9,19.72359,4.091,0.90,6.5,4
737.8,22.4,6.39337,3.420,0.73,-72.2,4
703.8,18.1,9.49421,3.304,0.78,-40.5,4
1024.0,19.2,4.92981,3.396,0.79,-26.6,4
3508.8,15.2,2.90052,2.802,0.29,-71.0,4
2646.9,16.4,4.32798,2.387,0.47,-28.8,4
2217.1,12.9,19.55613,2.872,0.90,35.1,4
2726.1,10.5,28.29623,3.161,0.85,-83.2,4
73.8,15.7,3.90936,3.039,0.92,66.2,4
1919.6,14.5,3.69597,2.696,0.99,40.3,4
592.7,13.2,6.14419,2.768,0.84,-51.6,4
2627.4,13.2,3.26692,2.270,0.65,56.3,4
1990.7,9.0,22.17875,4.056,0.74,60.1,4
1406.7,9.3,11.81987,3.543,0.73,-77.4,4
641.9,10.0,10.06244,2.916,0.73,55.2,4
2913.2,11.9,4.68303,2.449,0.85,-47.3,4
2775.4,12.6,1.88815,1.676,0.63,-86.6,4
2394.8,11.3,6.31766,2.112,0.84,33.5,4
3323.8,8.5,12.71901,4.244,0.65,84.8,4
3993.1,4.0,43.39968,3.671,0.56,6.7,4
3485.2,10.2,2.55680,2.186,0.49,4.2,4
3571.9,6.1,17.03511,3.209,0.94,22.5,4
2880.2,8.6,2.22780,2.591,0.58,-19.1,4
1807.0,7.3,5.50774,3.299,0.69,-36.0,4
123.0,6.3,5.05395,2.571,0.67,-3.4,4
1389.2,3.5,8.55285,2.504,0.96,-67.3,4
1237.5,5.4,2.68633,2.654,0.45,88.9,4
3087.0,4.0,1.39493,1.288,0.61,-46.0,4
1648.7,2.3,5.53893,1.917,0.73,-10.9,4
3871.6,2.8,1.80009,2.151,0.60,72.5,4
3593.0,1.9,3.93605,2.148,0.71,-9.2,4
3290.7,2.4,3.69344,3.086,0.60,53.9,4
2518.4,29.1,10.88912,4.194,0.85,-24.2,4
