x,y,luminosity_counts,hlr_pixel,q,theta,n
527.0,2786.5,11480.40237,11.202,0.56,-38.8,1
387.3,454.0,7569.54847,9.987,0.55,-40.8,1
2460.5,1071.5,5751.59779,11.058,0.82,-1.7,1
1471.4,1174.9,4328.31835,7.920,0.83,39.7,1
4049.5,1094.9,3874.05190,8.682,0.65,-52.0,1
2089.3,724.9,4441.00613,11.142,0.51,-49.4,1
2043.1,360.7,2964.85365,7.340,0.94,17.1,1
1437.2,4063.5,2535.22921,10.788,0.86,17.6,1
3041.3,2890.2,2585.33978,8.564,0.99,-18.4,1
374.0,883.0,2026.78262,6.683,0.86,-18.6,1
2400.2,2588.1,1370.20260,6.425,0.68,-58.7,1
854.5,2942.4,1790.44197,9.692,0.72,66.0,1
200.8,395.8,1363.40835,8.731,0.83,88.1,1
3502.9,419.1,1560.64747,7.838,0.89,87.6,1
3395.6,774.1,1300.80278,8.412,0.85,70.6,1
1148.4,4046.5,1548.96304,10.065,0.81,69.9,1
2200.0,12.5,1405.95524,10.172,0.62,-61.7,1
1783.4,3041.8,820.17798,7.477,0.86,-5.0,1
3927.8,3879.3,860.22875,7.021,0.75,-8.0,1
342.2,2519.4,859.27330,9.440,0.58,77.1,1
2266.4,3089.2,904.75698,9.051,0.73,39.7,1
1705.5,442.3,1171.46165,6.879,0.98,13.4,1
171.4,1729.8,856.85576,6.157,0.89,75.6,1
3986.2,1200.2,1245.81936,7.980,0.86,62.4,1
3902.2,1488.7,824.46948,5.968,0.73,-18.3,1
4046.6,2149.2,1236.50595,9.999,0.77,-40.1,1
1846.0,3129.4,911.96061,8.902,0.62,3.5,1
1435.0,1934.1,644.07074,6.645,0.82,13.5,1
1839.7,576.6,686.59934,5.801,0.95,-32.6,1
424.6,166.0,731.98296,8.306,0.76,-38.4,1
658.8,3698.6,626.48050,8.411,0.51,56.4,1
3439.2,920.0,556.06643,6.307,0.80,34.4,1
599.6,947.2,693.13058,6.906,0.70,-29.3,1
398.8,3285.1,644.11876,6.962,0.79,-82.7,1
795.1,112.2,662.84724,6.280,0.79,73.6,1
4173.4,1896.9,638.42549,5.655,0.79,60.4,1
3195.6,3301.0,757.48197,8.929,0.59,26.8,1
1227.5,3972.7,604.72060,6.961,0.82,-1.7,1
399.2,1966.7,729.06937,5.706,0.81,-58.9,1
169.3,1928.6,748.90844,6.091,0.72,45.1,1
1733.5,3855.7,505.38479,6.990,0.96,86.7,1
3780.4,3222.4,548.61099,6.903,0.77,-47.0,1
3371.8,3369.6,532.21946,7.624,0.65,76.9,1
3659.3,1811.4,317.46626,6.695,0.59,20.5,1
2588.6,3559.1,491.50608,7.805,0.61,-69.5,1
2598.1,1221.8,432.92185,5.388,0.83,-28.0,1
1918.0,52.6,336.66694,5.565,0.73,-58.6,1
995.4,10.3,403.68257,8.311,0.83,70.8,1
3049.6,3948.0,321.18138,7.479,0.87,-79.1,1
2248.3,9.1,436.33679,7.970,0.55,-74.5,1
1041.3,923.7,481.57314,7.237,0.90,80.0,1
3394.4,3670.3,343.11693,7.133,0.91,-76.5,1
311.5,1593.8,358.88020,5.806,0.68,24.2,1
1220.5,3087.2,469.02403,7.070,0.72,74.0,1
2271.9,1438.6,400.88366,6.171,0.93,-13.6,1
3900.8,464.5,361.20223,7.984,0.66,-85.7,1
2976.9,380.8,480.33788,8.087,0.86,-43.9,1
274.3,428.7,344.17012,6.543,0.82,-70.7,1
3322.5,3834.9,452.38759,7.087,0.66,-67.0,1
307.0,2302.9,340.58073,5.216,0.70,-7.5,1
1967.3,324.3,466.25287,6.516,0.91,-39.8,1
2266.5,1515.4,371.64380,5.977,0.73,48.3,1
2362.1,2902.2,353.77081,5.537,0.65,13.2,1
2387.2,3912.5,423.74989,8.465,0.83,31.6,1
417.1,1171.2,326.34150,5.160,0.85,-29.2,1
1889.9,627.4,437.61616,5.918,1.00,20.4,1
126.6,859.1,427.42965,6.861,0.94,-55.1,1
1549.2,2778.6,411.60944,8.599,0.53,-64.5,1
1182.7,1656.7,377.96212,6.031,0.93,-65.4,1
1136.6,699.3,224.72453,5.888,0.66,-43.6,1
314.4,3489.9,264.06355,5.076,1.00,67.4,1
1367.1,3602.4,237.94776,6.735,0.82,47.9,1
3668.2,2469.5,231.29644,5.052,1.00,-61.3,1
1801.0,2600.1,286.67941,5.021,0.66,-8.1,1
3241.9,2138.4,284.98940,7.582,0.59,-60.0,1
244.1,2625.5,252.54672,8.151,0.77,-20.9,1
1191.2,129.6,273.69152,5.850,0.86,-88.3,1
2386.3,2622.0,200.87413,6.449,0.62,61.0,1
261.7,664.5,290.26171,5.168,0.69,-61.0,1
1043.3,2419.5,215.69278,7.834,0.53,-50.6,1
2819.1,3986.6,216.35237,6.228,0.61,-66.6,1
1794.9,1958.1,265.44044,5.957,0.95,19.6,1
2749.8,3280.5,207.40808,7.182,0.63,-13.4,1
1748.9,1783.3,270.66667,5.808,0.83,28.7,1
2166.9,3040.1,231.84043,4.938,0.97,27.5,1
4031.9,2595.4,246.62556,6.478,0.82,41.3,1
1855.4,1020.4,235.01783,8.036,0.56,-77.1,1
920.2,2694.4,261.92444,6.433,0.85,58.6,1
1005.4,1434.1,256.66928,5.391,0.85,21.1,1
493.7,2632.4,304.99973,6.709,0.68,-25.8,1
2345.4,1161.0,312.68868,6.692,0.84,52.3,1
3388.9,3282.0,269.48737,5.999,0.94,48.7,1
2419.2,362.8,207.93233,5.859,0.65,35.9,1
272.5,2757.2,215.97841,5.041,0.75,69.9,1
1882.0,1683.9,293.65609,5.827,0.95,-16.4,1
838.1,1638.2,221.42104,6.609,0.67,42.4,1
2991.7,2730.6,289.63425,6.294,0.86,-44.9,1
2774.7,2422.1,275.11273,5.337,0.93,36.2,1
2015.6,4050.3,201.53324,5.193,0.86,-45.7,1
2922.3,1859.4,219.73018,4.941,0.78,-32.7,1
3570.1,683.5,312.11669,6.662,0.62,30.9,1
2844.4,2632.0,279.32759,6.603,0.82,53.1,1
3163.8,376.8,214.23345,7.601,0.51,-53.6,1
3377.7,262.7,209.68241,6.787,0.57,-29.8,1
240.1,2530.6,287.54237,5.978,0.66,23.4,1
118.6,626.1,266.97516,8.067,0.55,-10.2,1
2667.7,1236.9,232.40283,6.499,0.60,40.1,1
3451.6,2798.0,210.45312,5.236,0.84,76.0,1
1091.9,2312.1,252.18416,6.379,0.61,58.8,1
2327.8,596.1,145.41739,5.625,0.92,-20.1,1
3621.1,2870.1,148.08558,5.728,0.83,-65.1,1
1492.3,216.8,142.76492,5.091,1.00,75.5,1
1458.1,3452.1,179.77735,5.896,0.62,4.8,1
3201.2,3631.5,152.51121,6.437,0.61,63.8,1
1893.1,1976.1,144.60534,6.208,0.76,80.2,1
2040.6,2568.6,159.46170,4.591,0.94,45.1,1
3716.3,1480.5,176.35753,5.730,0.68,70.4,1
3726.2,2348.6,127.14073,6.257,0.87,-51.8,1
3373.6,3726.1,193.98006,4.825,0.77,-26.6,1
3019.3,1872.2,169.40271,7.365,0.52,-44.1,1
160.2,3378.2,198.85030,4.935,0.72,-74.1,1
311.6,263.3,194.33401,5.060,0.87,42.4,1
424.5,1388.9,195.55521,5.608,0.74,25.6,1
2031.5,3667.6,162.06014,5.217,0.68,-77.4,1
1606.4,2102.0,129.27512,5.009,0.99,-25.5,1
2873.3,3259.1,196.22815,5.467,0.97,46.8,1
3022.9,1944.6,164.86090,7.004,0.74,74.8,1
1434.5,3577.0,172.41040,4.875,0.90,-10.5,1
2794.3,1960.2,161.86920,6.085,0.79,20.7,1
2531.1,2098.3,182.95147,4.860,0.77,66.7,1
1747.9,542.1,171.85773,4.860,0.98,47.0,1
1422.3,2946.4,199.50470,6.411,0.67,-37.8,1
3617.2,1162.5,193.14840,6.410,0.56,-58.6,1
2313.3,2774.4,169.72766,6.922,0.73,-87.0,1
1365.1,3059.1,195.74123,7.368,0.78,-66.1,1
1527.4,3402.2,135.77595,5.626,0.80,-2.4,1
502.7,425.7,141.91484,5.321,0.72,42.7,1
2886.6,1435.5,174.71024,5.474,0.92,81.9,1
3260.2,117.3,126.98041,5.974,0.71,-16.5,1
1664.1,2019.1,176.56245,6.960,0.61,-73.6,1
2551.5,510.3,152.22768,7.535,0.60,-74.6,1
4097.1,3346.4,173.94826,7.439,0.55,72.0,1
1017.9,676.0,128.32269,6.742,0.60,-49.5,1
1116.6,2884.0,127.57765,6.280,0.72,24.0,1
2850.9,2299.1,126.81393,5.282,0.83,-66.6,1
3109.9,2195.2,130.70292,6.344,0.70,0.2,1
2011.6,2446.5,140.83385,4.654,0.93,-15.6,1
320.4,1769.7,179.65314,6.721,0.59,-48.6,1
3476.0,2628.8,144.21420,5.205,0.96,-9.6,1
3473.5,3093.2,167.49700,5.633,0.78,-41.7,1
1068.3,1619.5,164.77349,5.712,0.64,-52.8,1
1675.5,1334.4,133.11073,4.684,0.68,-6.6,1
3471.9,3287.1,141.72802,4.981,0.88,32.7,1
2633.5,2238.6,149.99725,7.209,0.66,69.3,1
548.8,2118.6,199.22823,5.477,0.81,-55.4,1
3895.4,4064.2,161.93975,6.477,0.92,-43.0,1
569.5,1289.5,132.71841,7.200,0.61,-73.6,1
986.5,1045.0,160.24749,7.389,0.80,-58.2,1
922.5,1712.9,161.08092,7.550,0.74,5.1,1
